Date,Close,High,Low,Open,Volume,Return,Log_returns,Volatility,Volume_change,Volume_group,Volume_moving_average,RSI,RSI_group
2010-06-29,1.59,1.67,1.17,1.27,281494500.0,,,,,High,,,
2010-06-30,1.59,2.03,1.55,1.72,257806500.0,0.0,0.0,,-0.084,High,,,
2010-07-01,1.46,1.73,1.35,1.67,123282000.0,-0.082,-0.08529758051189519,,-0.522,High,,,
2010-07-02,1.28,1.54,1.25,1.53,77097000.0,-0.123,-0.1315763577887192,,-0.375,Medium,,,
2010-07-06,1.07,1.33,1.06,1.33,103003500.0,-0.164,-0.179201429457711,,0.336,Medium,,,
2010-07-07,1.05,1.11,1.0,1.09,103825500.0,-0.019,-0.018868484304382805,,0.008,Medium,,,
2010-07-08,1.16,1.17,1.04,1.08,115671000.0,0.105,0.09962984094884114,,0.114,High,,,
2010-07-09,1.16,1.19,1.1,1.17,60759000.0,0.0,0.0,,-0.475,Low,,,
2010-07-12,1.14,1.2,1.13,1.2,33037500.0,-0.017,-0.01739174271186922,,-0.456,Low,,,
2010-07-13,1.21,1.24,1.13,1.16,40201500.0,0.061,0.0595920972022456,,0.217,Low,,,
2010-07-14,1.32,1.34,1.18,1.2,62928000.0,0.091,0.0870113769896299,,0.565,Medium,,,
2010-07-15,1.33,1.43,1.27,1.33,56097000.0,0.008,0.007547205635382904,,-0.109,Low,,,
2010-07-16,1.38,1.42,1.34,1.38,39319500.0,0.038,0.036904556935450764,,-0.299,Low,,,
2010-07-19,1.46,1.48,1.39,1.42,37297500.0,0.058,0.05635293655113178,,-0.051,Low,,43.434,Low
2010-07-20,1.35,1.46,1.34,1.46,27379500.0,-0.075,-0.07833184326990696,,-0.266,Low,,39.091,Low
2010-07-21,1.35,1.39,1.3,1.38,18787500.0,0.0,0.0,,-0.314,Low,,39.091,Low
2010-07-22,1.4,1.42,1.36,1.37,14367000.0,0.037,0.03636764417087479,,-0.235,Low,,47.059,Medium
2010-07-23,1.42,1.44,1.4,1.41,9804000.0,0.014,0.014184634991956381,,-0.318,Low,,58.14,Medium
2010-07-26,1.4,1.43,1.35,1.43,13833000.0,-0.014,-0.014184634991956413,,0.411,Low,,74.627,High
2010-07-27,1.37,1.41,1.35,1.39,9295500.0,-0.021,-0.021661496781179193,,-0.328,Low,74264325.0,73.529,High
2010-07-28,1.38,1.39,1.37,1.37,7008000.0,0.007,0.007272759329079657,,-0.246,Low,60540000.0,68.966,High
2010-07-29,1.36,1.39,1.33,1.38,9240000.0,-0.014,-0.014598799421152523,,0.318,Low,48111675.0,66.667,High
2010-07-30,1.33,1.36,1.3,1.35,6403500.0,-0.022,-0.022305757514298277,,-0.307,Low,42267750.0,65.574,High
2010-08-02,1.39,1.4,1.36,1.37,10771500.0,0.045,0.04412480490893789,,0.682,Low,38951475.0,65.0,High
2010-08-03,1.46,1.46,1.39,1.4,18457500.0,0.05,0.04913268857764481,,0.714,Low,34724175.0,62.5,High
2010-08-04,1.42,1.48,1.39,1.46,13695000.0,-0.027,-0.027779564107075706,,-0.258,Low,30217650.0,57.627,Medium
2010-08-05,1.36,1.44,1.34,1.44,11943000.0,-0.042,-0.043172171865208546,,-0.128,Low,25031250.0,48.333,Medium
2010-08-06,1.31,1.34,1.3,1.34,11128500.0,-0.037,-0.03745756253490044,,-0.068,Low,22549725.0,36.842,Low
2010-08-09,1.31,1.33,1.3,1.33,12190500.0,0.0,0.0,,0.095,Low,21507375.0,45.652,Medium
2010-08-10,1.27,1.31,1.25,1.31,19219500.0,-0.031,-0.031010236742560322,,0.577,Low,20458275.0,42.0,Low
2010-08-11,1.19,1.26,1.19,1.25,11964000.0,-0.063,-0.06506359334706201,0.058,-0.378,Low,17910075.0,30.189,Low
2010-08-12,1.17,1.19,1.16,1.19,10365000.0,-0.017,-0.01694955831377332,0.058,-0.134,Low,15623475.0,26.415,Low
2010-08-13,1.22,1.23,1.18,1.21,9510000.0,0.043,0.041847109935500504,0.057,-0.082,Low,14133000.0,33.929,Low
2010-08-16,1.25,1.25,1.22,1.23,7287000.0,0.025,0.024292692569044483,0.053,-0.234,Low,12632475.0,39.286,Low
2010-08-17,1.28,1.29,1.25,1.26,6718500.0,0.024,0.023716526617316065,0.042,-0.078,Low,11599425.0,41.379,Low
2010-08-18,1.25,1.31,1.24,1.31,9019500.0,-0.023,-0.023716526617316044,0.043,0.342,Low,11111025.0,40.678,Low
2010-08-19,1.25,1.28,1.22,1.24,8686500.0,0.0,0.0,0.038,-0.037,Low,10827000.0,42.857,Low
2010-08-20,1.27,1.27,1.23,1.24,4440000.0,0.016,0.015873349156290163,0.038,-0.489,Low,10558800.0,38.462,Low
2010-08-23,1.34,1.36,1.27,1.27,16321500.0,0.055,0.05365271349232022,0.039,2.676,Low,10683225.0,38.462,Low
2010-08-24,1.28,1.31,1.26,1.28,10096500.0,-0.045,-0.04580953603129422,0.039,-0.381,Low,10723275.0,37.037,Low
2010-08-25,1.33,1.33,1.24,1.28,7549500.0,0.039,0.0383188643021366,0.036,-0.252,Low,10750350.0,47.17,Medium
