Date,Close,High,Low,Open,Volume,Return,Log_returns,Volatility,Volume_change,Volume_group,Volume_moving_average,RSI,RSI_group
2010-01-04,6.41,6.43,6.36,6.4,493729600.0,,,,,High,,,
2010-01-05,6.42,6.46,6.39,6.43,601904800.0,0.002,0.002,,0.219,High,,,
2010-01-06,6.32,6.45,6.31,6.42,552160000.0,-0.016,-0.016,,-0.083,High,,,
2010-01-07,6.31,6.35,6.26,6.34,477131200.0,-0.002,-0.002,,-0.136,High,,,
2010-01-08,6.35,6.35,6.26,6.3,447610800.0,0.006,0.006,,-0.062,High,,,
2010-01-11,6.3,6.38,6.25,6.38,462229600.0,-0.008,-0.008,,0.033,High,,,
2010-01-12,6.22,6.29,6.18,6.27,594459600.0,-0.013,-0.013,,0.286,High,,,
2010-01-13,6.31,6.32,6.12,6.23,605892000.0,0.014,0.014,,0.019,High,,,
2010-01-14,6.28,6.31,6.26,6.3,432894000.0,-0.005,-0.005,,-0.286,High,,,
2010-01-15,6.17,6.34,6.17,6.32,594067600.0,-0.018,-0.018,,0.372,High,,,
2010-01-19,6.44,6.45,6.21,6.24,730007600.0,0.044,0.043,,0.229,High,,,
2010-01-20,6.34,6.46,6.28,6.44,612152800.0,-0.016,-0.016,,-0.161,High,,46.067,Low
2010-01-21,6.23,6.39,6.21,6.35,608154400.0,-0.017,-0.018,,-0.007,High,,41.0,Low
2010-01-22,5.93,6.22,5.91,6.2,881767600.0,-0.048,-0.049,,0.45,High,,31.538,Low
2010-01-25,6.08,6.13,6.0,6.07,1065699600.0,0.025,0.025,,0.209,High,,38.621,Low
2010-01-26,6.17,6.4,6.07,6.17,1867110000.0,0.015,0.015,,0.752,High,,41.83,Low
2010-01-27,6.23,6.31,5.98,6.2,1722568400.0,0.01,0.01,,-0.077,High,,46.98,Low
2010-01-28,5.97,6.16,5.95,6.14,1173502400.0,-0.042,-0.043,,-0.319,High,,40.23,Low
2010-01-29,5.75,6.06,5.7,6.02,1245952400.0,-0.037,-0.038,,0.062,High,,34.375,Low
2010-02-01,5.83,5.87,5.73,5.76,749876400.0,0.014,0.014,,-0.398,High,795943540.0,37.949,Low
2010-02-02,5.87,5.88,5.79,5.87,698342400.0,0.007,0.007,,-0.069,High,806174180.0,40.838,Low
2010-02-03,5.97,6.0,5.83,5.85,615328000.0,0.017,0.017,,-0.119,High,806845340.0,41.146,Low
2010-02-04,5.75,5.94,5.74,5.89,757652000.0,-0.037,-0.038,,0.231,High,817119940.0,37.441,Low
2010-02-05,5.86,5.87,5.72,5.77,850306800.0,0.019,0.019,,0.122,High,835778720.0,42.654,Low
2010-02-08,5.82,5.93,5.81,5.86,478270800.0,-0.007,-0.007,,-0.438,High,837311720.0,33.511,Low
2010-02-09,5.88,5.92,5.84,5.89,632886800.0,0.01,0.01,,0.323,High,845844580.0,37.5,Low
2010-02-10,5.85,5.89,5.82,5.87,370361600.0,-0.005,-0.005,,-0.415,High,834639680.0,39.205,Low
2010-02-11,5.95,5.99,5.81,5.84,550345600.0,0.017,0.017,,0.486,High,831862360.0,50.641,Medium
2010-02-12,6.0,6.04,5.86,5.94,655468800.0,0.008,0.008,,0.191,High,842991100.0,47.26,Low
2010-02-16,6.09,6.1,6.04,6.05,543737600.0,0.015,0.015,,-0.17,High,840474600.0,47.26,Low
2010-02-17,6.07,6.12,6.02,6.12,436396800.0,-0.003,-0.003,0.021,-0.197,High,825794060.0,44.366,Low
2010-02-18,6.08,6.11,6.02,6.04,422825200.0,0.002,0.002,0.021,-0.031,High,816327680.0,54.701,Medium
2010-02-19,6.04,6.09,6.03,6.05,415469600.0,-0.007,-0.007,0.021,-0.017,High,806693440.0,64.646,Medium
2010-02-22,6.01,6.07,5.97,6.06,390563600.0,-0.005,-0.005,0.021,-0.06,High,782133240.0,59.574,Medium
2010-02-23,5.9,6.03,5.86,5.99,575094800.0,-0.018,-0.018,0.021,0.472,High,757603000.0,51.485,Medium
2010-02-24,6.01,6.04,5.93,5.94,460566400.0,0.019,0.018,0.021,-0.199,High,687275820.0,51.961,Medium
2010-02-25,6.05,6.08,5.9,5.91,665126000.0,0.007,0.007,0.021,0.444,High,634403700.0,67.857,High
2010-02-26,6.13,6.15,6.05,6.06,507460800.0,0.013,0.013,0.021,-0.237,High,601101620.0,66.667,High
2010-03-01,6.26,6.28,6.16,6.16,550093600.0,0.021,0.021,0.022,0.084,High,566308680.0,74.444,High
2010-03-02,6.26,6.32,6.22,6.29,566546400.0,0.0,0.0,0.021,0.03,High,557142180.0,72.619,High
2010-03-03,6.27,6.29,6.23,6.26,372052800.0,0.002,0.002,0.02,-0.343,High,540827700.0,75.61,High
