Date,Close,High,Low,Open,Volume,Return,Log_returns,Volatility,Volume_change,Volume_group,Volume_moving_average,RSI,RSI_group
2010-01-04,1132.99,1133.87,1116.56005859375,1116.56,3991400000,,,,,Medium,,,
2010-01-05,1136.52,1136.63,1129.6600341796875,1132.66,2491020000,0.0,0.0031108061622855104,,-0.376,Low,,,
2010-01-06,1137.14,1139.19,1133.949951171875,1135.71,4972660000,0.0,0.0005453761911345774,,0.996,High,,,
2010-01-07,1141.69,1142.46,1131.3199462890625,1136.27,5270680000,0.0,0.0039932825584234055,,0.06,High,,,
2010-01-08,1144.98,1145.39,1136.219970703125,1140.52,4389590000,0.0,0.0028775488113092444,,-0.167,High,,,
2010-01-11,1146.98,1149.74,1142.02001953125,1145.96,4255780000,0.0,0.0017452315988401989,,-0.03,High,,,
2010-01-12,1136.22,1143.81,1131.77001953125,1143.81,4716160000,-0.01,-0.009425437682848987,,0.108,High,,,
2010-01-13,1145.68,1148.4,1133.1800537109375,1137.31,4170360000,0.01,0.008291383667578442,,-0.116,High,,,
2010-01-14,1148.46,1150.41,1143.800048828125,1145.68,3915200000,0.0,0.0024235673156261114,,-0.061,Medium,,,
2010-01-15,1136.03,1147.77,1131.3900146484375,1147.72,4758730000,-0.01,-0.010882186102969552,,0.215,High,,,
2010-01-19,1150.23,1150.45,1135.77001953125,1136.03,4724830000,0.01,0.01242219397685807,,-0.007,High,,,
2010-01-20,1138.04,1147.95,1129.25,1147.95,4810560000,-0.01,-0.010654437906525255,,0.018,High,,,
2010-01-21,1116.48,1141.58,1114.8399658203125,1138.68,6874290000,-0.02,-0.019126605455027455,,0.429,High,,,
2010-01-22,1091.76,1115.49,1090.1800537109375,1115.49,6208650000,-0.02,-0.022389806068551035,,-0.097,High,,33.115,Low
2010-01-25,1096.78,1102.97,1092.4000244140625,1092.4,4481390000,0.0,0.004587541286927027,,-0.278,High,,35.756,Low
2010-01-26,1092.17,1103.69,1089.8599853515625,1095.8,4731910000,-0.0,-0.004212071372766148,,0.056,High,,32.701,Low
2010-01-27,1097.5,1099.51,1083.1099853515625,1091.94,5319120000,0.0,0.004868323105307144,,0.124,High,,35.087,Low
2010-01-28,1084.53,1100.22,1078.4599609375,1096.93,5452400000,-0.01,-0.011888152547708633,,0.025,High,,29.776,Low
2010-01-29,1073.87,1096.45,1071.5899658203125,1087.61,5412850000,-0.01,-0.009877767489622453,,-0.007,High,,26.088,Low
2010-02-01,1089.19,1089.38,1073.8900146484375,1073.89,4077610000,0.01,0.014165354795150988,,-0.247,Medium,4751259500.0,32.165,Low
2010-02-02,1103.32,1104.73,1087.9599609375,1090.05,4749540000,0.01,0.01288951533068827,,0.165,High,4789166500.0,40.053,Low
2010-02-03,1097.28,1102.72,1093.969970703125,1100.67,4285450000,-0.01,-0.005489425763279087,,-0.098,High,4878888000.0,35.058,Low
2010-02-04,1063.11,1097.25,1062.780029296875,1097.25,5859690000,-0.03,-0.031635815571409806,,0.367,High,4923239500.0,27.929,Low
2010-02-05,1066.19,1067.13,1044.5,1064.12,6438900000,0.0,0.0028929715381732983,,0.099,High,4981650500.0,31.022,Low
2010-02-08,1056.74,1071.2,1056.510009765625,1065.51,4089820000,-0.01,-0.008902848815299853,,-0.365,High,4966662000.0,23.922,Low
2010-02-09,1070.52,1079.28,1060.06005859375,1060.06,5114260000,0.01,0.012955814287673312,,0.25,High,5009586000.0,31.332,Low
2010-02-10,1068.13,1073.67,1059.3399658203125,1069.68,4251450000,-0.0,-0.0022350557547347752,,-0.169,High,4986350500.0,35.047,Low
2010-02-11,1078.47,1080.04,1060.5899658203125,1067.1,4400870000,0.01,0.009633914071687014,,0.035,High,4997876000.0,45.488,Low
2010-02-12,1075.51,1077.81,1062.969970703125,1075.95,4160680000,-0.0,-0.0027484023651562135,,-0.055,High,5010150000.0,42.677,Low
2010-02-16,1094.87,1095.67,1079.1300048828125,1079.13,4080770000,0.02,0.01784066707597497,,-0.019,Medium,4976252000.0,50.844,Medium
2010-02-17,1099.51,1101.03,1094.719970703125,1096.14,4259230000,0.0,0.004228991255194203,0.011,0.044,High,4952972000.0,50.631,Medium
2010-02-18,1106.75,1108.24,1097.47998046875,1099.03,3878620000,0.01,0.006563166615592701,0.011,-0.089,Medium,4906375000.0,57.235,Medium
2010-02-19,1109.17,1112.42,1100.800048828125,1105.49,3944280000,0.0,0.002184195243594415,0.011,0.017,Medium,4759874500.0,62.146,Medium
2010-02-22,1108.01,1112.29,1105.3800048828125,1110.0,3814440000,-0.0,-0.0010463743185851612,0.011,-0.033,Medium,4640164000.0,57.174,Medium
2010-02-23,1094.6,1108.58,1092.1800537109375,1107.49,4521050000,-0.01,-0.012176613827442041,0.011,0.185,High,4642147000.0,46.657,Low
2010-02-24,1105.24,1106.42,1095.5,1095.89,4168360000,0.01,0.00967350622884524,0.011,-0.078,High,4613969500.0,52.947,Medium
2010-02-25,1102.94,1103.5,1086.02001953125,1101.24,4521130000,-0.0,-0.0020831642635576906,0.011,0.085,High,4574070000.0,69.303,High
2010-02-26,1104.49,1107.24,1097.56005859375,1103.1,3945190000,0.0,0.00140434827355034,0.011,-0.127,Medium,4498709500.0,68.841,High
2010-03-01,1115.71,1116.11,1105.3599853515625,1105.36,3847640000,0.01,0.010107283593191702,0.011,-0.025,Medium,4420449000.0,78.513,High
2010-03-02,1118.31,1123.46,1116.510009765625,1117.01,4134680000,0.0,0.0023276435966405676,0.011,0.075,High,4423302500.0,75.908,High
2010-03-03,1118.79,1125.64,1116.5799560546875,1119.36,3951320000,0.0,0.00042912700135530314,0.011,-0.044,Medium,4383391500.0,78.045,High
2010-03-04,1122.97,1123.73,1116.6600341796875,1119.12,3945010000,0.0,0.003729217083266287,0.011,-0.002,Medium,4366369500.0,76.438,High
2010-03-05,1138.7,1139.38,1125.1199951171875,1125.12,4133000000,0.01,0.0139102995934497,0.01,0.048,High,4280035000.0,82.596,High
2010-03-08,1138.5,1141.05,1136.77001953125,1138.4,3774680000,-0.0,-0.00017565431276499765,0.009,-0.087,Medium,4146824000.0,78.051,High
2010-03-09,1140.45,1145.37,1134.9000244140625,1137.56,5185570000,0.0,0.0017113148387610981,0.009,0.374,High,4201611500.0,77.264,High
2010-03-10,1145.61,1148.26,1140.0899658203125,1140.22,5469120000,0.0,0.004514324876007007,0.009,0.055,High,4219354500.0,76.616,High
2010-03-11,1150.24,1150.24,1138.989990234375,1143.96,4669060000,0.0,0.004033370016998894,0.009,-0.146,High,4240235000.0,77.304,High
2010-03-12,1149.99,1153.41,1146.969970703125,1151.71,4928160000,-0.0,-0.00021736956824699424,0.009,0.055,High,4266599500.0,78.25,High
