Date,Close,High,Low,Open,Volume,Return,Log_returns,Volatility,Volume_change,Volume_group,Volume_moving_average,RSI,RSI_group
2010-01-04,17558.73,17582.84,17378.38,17473.45,28200.0,,,,,High,,,
2010-01-05,17686.24,17729.78,17555.77,17555.77,27000.0,0.007,0.007,,-0.043,High,,,
2010-01-06,17701.13,17790.33,17636.71,17719.47,21400.0,0.001,0.001,,-0.207,High,,,
2010-01-07,17615.72,17733.34,17566.54,17701.97,18000.0,-0.005,-0.005,,-0.159,High,,,
2010-01-08,17540.29,17658.12,17508.96,17603.87,17200.0,-0.004,-0.004,,-0.044,High,,,
2010-01-11,17526.71,17776.57,17500.79,17724.59,18400.0,-0.001,-0.001,,0.07,High,,,
2010-01-12,17422.51,17612.0,17392.55,17534.1,18600.0,-0.006,-0.006,,0.011,High,,,
2010-01-13,17509.8,17528.31,17276.46,17368.03,26200.0,0.005,0.005,,0.409,High,,,
2010-01-14,17584.87,17628.04,17525.71,17525.71,23400.0,0.004,0.004,,-0.107,High,,,
2010-01-15,17554.3,17639.85,17529.11,17604.31,17600.0,-0.002,-0.002,,-0.248,High,,,
2010-01-18,17641.08,17712.6,17505.5,17538.72,15400.0,0.005,0.005,,-0.125,High,,,
2010-01-19,17486.06,17664.86,17463.78,17650.82,13400.0,-0.009,-0.009,,-0.13,Medium,,45.754,Low
2010-01-20,17474.49,17590.59,17425.05,17486.69,17000.0,-0.001,-0.001,,0.269,High,,45.144,Low
2010-01-21,17051.14,17474.49,17025.26,17474.49,17200.0,-0.024,-0.025,,0.012,High,,30.336,Low
2010-01-22,16859.68,17000.33,16608.09,16978.36,23200.0,-0.011,-0.011,,0.349,High,,26.417,Low
2010-01-25,16780.46,16877.77,16705.56,16847.7,16400.0,-0.005,-0.005,,-0.293,High,,18.414,Low
2010-01-27,16289.82,16708.6,16230.85,16708.6,25600.0,-0.029,-0.03,,0.561,High,,13.047,Low
2010-01-28,16306.87,16524.69,16182.14,16317.16,21600.0,0.001,0.001,,-0.156,High,,14.457,Low
2010-01-29,16357.96,16390.31,15982.08,16253.82,25400.0,0.003,0.003,,0.176,High,,17.463,Low
2010-02-01,16356.03,16422.4,16160.8,16339.32,20000.0,-0.0,-0.0,,-0.213,High,20560.0,17.576,Low
2010-02-02,16163.44,16525.98,16129.11,16368.44,20600.0,-0.012,-0.012,,0.03,High,20180.0,16.755,Low
2010-02-03,16496.05,16552.99,16210.25,16210.25,16400.0,0.021,0.02,,-0.204,High,19650.0,26.303,Low
2010-02-04,16224.95,16508.22,16188.8,16500.29,15800.0,-0.016,-0.017,,-0.037,High,19370.0,20.879,Low
2010-02-05,15790.93,16222.56,15725.43,16222.56,23000.0,-0.027,-0.027,,0.456,High,19620.0,17.803,Low
2010-02-08,15935.61,16061.41,15651.99,15931.34,26600.0,0.009,0.009,,0.157,High,20090.0,19.505,Low
2010-02-09,16042.18,16094.13,15862.9,15940.73,21200.0,0.007,0.007,,-0.203,High,20230.0,23.727,Low
2010-02-10,15922.17,16141.13,15892.01,16042.18,19800.0,-0.007,-0.008,,-0.066,High,20290.0,22.827,Low
2010-02-11,16152.59,16202.87,15928.28,15928.28,14400.0,0.014,0.014,,-0.273,High,19700.0,33.131,Low
2010-02-15,16038.35,16227.04,16011.82,16186.9,17000.0,-0.007,-0.007,,0.181,High,19380.0,34.121,Low
2010-02-16,16226.68,16310.39,16021.29,16042.18,20600.0,0.012,0.012,,0.212,High,19530.0,39.727,Low
2010-02-17,16428.91,16480.89,16228.91,16228.91,19600.0,0.012,0.012,0.012,-0.049,High,19740.0,52.889,Medium
2010-02-18,16327.84,16452.51,16287.17,16421.2,14000.0,-0.006,-0.006,0.012,-0.286,Medium,19770.0,50.421,Medium
2010-02-19,16191.63,16301.94,16074.58,16256.53,19400.0,-0.008,-0.008,0.012,0.386,High,19890.0,46.772,Medium
2010-02-22,16237.05,16423.23,16191.32,16191.32,14000.0,0.003,0.003,0.012,-0.278,Medium,19730.0,47.729,Medium
2010-02-23,16286.32,16324.93,16178.91,16213.14,13400.0,0.003,0.003,0.012,-0.043,Medium,19240.0,52.481,Medium
2010-02-24,16255.97,16328.44,16187.44,16218.68,12400.0,-0.002,-0.002,0.012,-0.075,Medium,19040.0,44.478,Low
2010-02-25,16254.2,16329.33,16167.13,16264.1,12200.0,-0.0,-0.0,0.012,-0.016,Medium,18370.0,50.768,Medium
2010-02-26,16429.55,16669.25,16249.67,16255.33,31000.0,0.011,0.011,0.012,1.541,High,18840.0,69.4,High
2010-03-02,16772.56,16808.49,16438.45,16438.45,22400.0,0.021,0.021,0.013,-0.277,High,18690.0,72.691,High
2010-03-03,17000.01,17012.61,16778.29,16778.29,20000.0,0.014,0.013,0.013,-0.107,High,18690.0,74.371,High
2010-03-04,16971.7,17024.96,16888.05,17013.68,19000.0,-0.002,-0.002,0.013,-0.05,High,18610.0,78.011,High
2010-03-05,16994.49,17097.71,16936.12,16988.29,19600.0,0.001,0.001,0.013,0.032,High,18770.0,75.27,High
2010-03-08,17102.6,17187.55,17034.92,17034.92,15200.0,0.006,0.006,0.013,-0.224,High,18740.0,82.062,High
2010-03-09,17052.54,17130.83,17031.21,17089.22,56600.0,-0.003,-0.003,0.012,2.724,High,20420.0,77.141,High
2010-03-10,17098.33,17183.51,17027.92,17072.94,16800.0,0.003,0.003,0.012,-0.703,High,19930.0,74.522,High
2010-03-11,17167.96,17215.07,17054.28,17087.63,11400.0,0.004,0.004,0.012,-0.321,Medium,19440.0,81.5,High
2010-03-12,17166.62,17244.54,17126.93,17176.02,24000.0,-0.0,-0.0,0.01,1.105,High,19650.0,90.67,High
2010-03-15,17164.99,17195.49,17061.14,17166.97,14200.0,-0.0,-0.0,0.01,-0.408,Medium,19640.0,90.175,High
2010-03-16,17383.18,17416.55,17150.06,17169.84,12400.0,0.013,0.013,0.011,-0.127,Medium,19410.0,91.429,High
2010-03-17,17490.08,17576.78,17389.47,17389.47,16800.0,0.006,0.006,0.011,0.355,High,19220.0,94.065,High
2010-03-18,17519.26,17548.13,17417.61,17492.81,13600.0,0.002,0.002,0.01,-0.19,Medium,18920.0,94.303,High
2010-03-19,17578.23,17600.87,17502.14,17531.47,13800.0,0.003,0.003,0.01,0.015,Medium,18910.0,93.797,High
2010-03-22,17410.57,17559.18,17337.38,17481.96,12200.0,-0.01,-0.01,0.009,-0.116,Medium,18550.0,78.081,High
2010-03-23,17451.02,17530.79,17356.64,17422.51,12600.0,0.002,0.002,0.008,0.033,Medium,18480.0,73.762,High
2010-03-25,17558.85,17575.23,17383.21,17458.51,13800.0,0.006,0.006,0.007,0.095,Medium,18500.0,78.543,High
2010-03-26,17644.76,17682.94,17558.85,17558.85,13000.0,0.005,0.005,0.007,-0.058,Medium,18530.0,79.784,High
2010-03-29,17711.35,17793.01,17639.18,17639.18,14800.0,0.004,0.004,0.007,0.138,High,18660.0,78.985,High
2010-03-30,17590.17,17783.35,17558.22,17703.67,12600.0,-0.007,-0.007,0.007,-0.149,Medium,17740.0,73.975,High
2010-03-31,17527.77,17699.5,17488.55,17602.39,13600.0,-0.004,-0.004,0.007,0.079,Medium,17300.0,68.871,High
2010-04-01,17692.62,17706.56,17555.04,17555.04,13000.0,0.009,0.009,0.007,-0.044,Medium,16950.0,71.274,High
2010-04-05,17935.68,17948.54,17693.66,17693.66,12800.0,0.014,0.014,0.007,-0.015,Medium,16640.0,76.073,High
2010-04-06,17941.37,17991.41,17898.0,17940.32,12400.0,0.0,0.0,0.007,-0.031,Medium,16280.0,76.249,High
2010-04-07,17970.02,18047.86,17878.31,17915.6,13200.0,0.002,0.002,0.007,0.065,Medium,16180.0,72.758,High
2010-04-08,17714.4,17960.91,17679.34,17950.56,11800.0,-0.014,-0.014,0.007,-0.106,Medium,13940.0,57.8,Medium
2010-04-09,17933.14,17971.47,17715.16,17715.16,12200.0,0.012,0.012,0.007,0.034,Medium,13710.0,62.714,Medium
2010-04-12,17853.0,17995.25,17816.19,17874.16,9800.0,-0.004,-0.004,0.008,-0.197,Medium,13630.0,58.333,Medium
2010-04-13,17821.96,17892.78,17736.09,17831.38,12800.0,-0.002,-0.002,0.008,0.306,Medium,13070.0,63.603,High
2010-04-15,17639.26,17975.57,17619.02,17804.55,12600.0,-0.01,-0.01,0.008,-0.016,Medium,12990.0,55.689,Medium
2010-04-16,17591.18,17663.99,17529.55,17645.91,11600.0,-0.003,-0.003,0.007,-0.079,Medium,12950.0,51.014,Medium
2010-04-19,17400.68,17584.86,17276.8,17584.86,11800.0,-0.011,-0.011,0.007,0.017,Medium,12700.0,42.818,Low
2010-04-20,17460.58,17560.09,17394.68,17394.68,14000.0,0.003,0.003,0.007,0.186,Medium,12720.0,42.592,Low
2010-04-21,17472.56,17565.55,17446.51,17458.76,10000.0,0.001,0.001,0.007,-0.286,Medium,12530.0,46.286,Low
2010-04-22,17573.99,17778.34,17408.02,17476.48,17600.0,0.006,0.006,0.007,0.76,High,12800.0,51.424,Medium
2010-04-23,17694.2,17725.88,17533.88,17533.88,17200.0,0.007,0.007,0.007,-0.023,High,13030.0,50.05,Medium
2010-04-26,17745.28,17826.48,17692.26,17692.26,14800.0,0.003,0.003,0.007,-0.14,High,13080.0,43.13,Low
2010-04-27,17690.62,17769.25,17678.56,17744.93,12200.0,-0.003,-0.003,0.007,-0.176,Medium,13040.0,41.261,Low
2010-04-28,17380.08,17643.59,17344.58,17643.59,17000.0,-0.018,-0.018,0.008,0.393,High,13150.0,32.817,Low
